,source,target
18,Pulmonary alveolar type II cells,ABCA3
90,Enterocytes,ACSL5
105,Smooth muscle cells,ACTA2
113,Smooth muscle cells,ACTG2
114,Myoepithelial cells,ACTG2
115,Mesangial cells,ACTN1
159,Beta cells,ADCYAP1
172,Pulmonary alveolar type II cells,ADGRF5
183,Endothelial cells,ADGRL4
231,Goblet cells,AGR2
233,Luminal epithelial cells,AGR2
234,Cholangiocytes,AGR2
239,Astrocytes,AGT
255,Macrophages,AIF1
256,Dendritic cells,AIF1
259,Podocytes,AIF1L
264,Proximal tubule cells,AK4
267,Mesangial cells,AKAP12
277,Acinar cells,AKR1C3
281,Erythroid-like and erythroid precursor cells,ALAS2
285,Hepatocytes,ALB
289,Alpha cells,ALDH1A1
304,Acinar cells,ALDOB
326,Hepatocytes,AMBP
328,Granulosa cells,AMH
344,Mesangial cells,ANGPT2
360,Oligodendrocytes,ANLN
367,Acinar cells,ANPEP
372,Enterocytes,ANPEP
374,Dendritic cells,ANXA1
375,Luminal epithelial cells,ANXA1
398,Hepatocytes,APOA1
402,Hepatocytes,APOA2
413,Hepatocytes,APOC3
416,Proximal tubule cells,APOE
418,Astrocytes,APOE
420,Hepatocytes,APOH
445,Luminal epithelial cells,AQP3
448,Keratinocytes,AQP3
450,Gamma (PP) cells,AQP3
451,Astrocytes,AQP4
467,Enterocytes,AQP8
495,Platelets,ARHGDIB
505,Mesangial cells,ARID5B
556,Proximal tubule cells,ASS1
584,Neurons,ATP6V0A1
634,B cells naive,BANK1
645,Podocytes,BCAM
655,Plasmacytoid dendritic cells,BCL11A
656,B cells,BCL11A
675,Neurons,BEX1
676,Neurons,BEX2
679,Smooth muscle cells,BGN
680,Hepatic stellate cells,BGN
691,B cells naive,BIRC3
743,Luminal epithelial cells,BTG1
759,Fibroblasts,C1S
769,Macrophages,C5AR1
776,Enterocytes,CA1
835,Endothelial cells,CALCRL
837,Mesangial cells,CALD1
847,Neurons,CAMK2N1
876,Endothelial cells,CAV1
879,Adipocytes,CAVIN1
880,Platelets,CAVIN2
926,Hepatic stellate cells,CCL2
946,NK cells,CCL4
951,Gamma delta T cells,CCL5
953,NK cells,CCL5
955,Platelets,CCL5
960,Hepatic stellate cells,CCN1
962,Hepatic stellate cells,CCN2
964,Fibroblasts,CCN2
965,Endothelial cells,CCN2
968,Podocytes,CCN2
1064,T cells,CD2
1069,NK cells,CD2
1086,Epithelial cells,CD24
1087,Cholangiocytes,CD24
1092,Keratinocytes,CD24
1096,Gamma delta T cells,CD247
1103,Plasma cells,CD27
1127,Endothelial cells,CD34
1138,Macrophages,CD36
1141,B cells naive,CD37
1149,T cells,CD3D
1153,T cells,CD3E
1160,T cells,CD3G
1204,T cells,CD52
1205,B cells,CD52
1206,B cells naive,CD52
1222,B cells naive,CD69
1232,NK cells,CD69
1236,T cells,CD7
1237,Gamma delta T cells,CD7
1242,Plasma cells,CD74
1243,B cells,CD74
1244,Macrophages,CD74
1245,Luminal epithelial cells,CD74
1246,B cells naive,CD74
1248,Plasma cells,CD79A
1249,B cells naive,CD79A
1250,B cells,CD79A
1251,B cells naive,CD79B
1252,B cells,CD79B
1264,Macrophages,CD83
1289,Luminal epithelial cells,CD9
1290,Endothelial cells,CD9
1303,Luminal epithelial cells,CDH1
1316,Fibroblasts,CDH11
1325,Enterocytes,CDH17
1334,Endothelial cells,CDH5
1383,Luminal epithelial cells,CEBPD
1388,Acinar cells,CELA3A
1389,Acinar cells,CELA3B
1403,Ependymal cells,CFAP44
1433,Alpha cells,CHGA
1435,Enteroendocrine cells,CHGA
1436,Enteroendocrine cells,CHGB
1467,Ependymal cells,CIMAP1B
1503,Oligodendrocytes,CLDN11
1508,Pulmonary alveolar type II cells,CLDN18
1514,Ductal cells,CLDN4
1516,Cholangiocytes,CLDN4
1518,Luminal epithelial cells,CLDN4
1519,Endothelial cells,CLDN5
1530,Endothelial cells,CLEC14A
1536,T cells,CLEC2D
1550,Macrophages,CLEC7A
1551,Dendritic cells,CLEC7A
1558,Podocytes,CLIC5
1562,Acinar cells,CLPS
1582,Gamma (PP) cells,CMTM8
1592,Smooth muscle cells,CNN1
1593,Oligodendrocyte progenitor cells,CNP
1628,Pancreatic stellate cells,COL1A1
1629,Fibroblasts,COL1A1
1630,Hepatic stellate cells,COL1A1
1634,Pancreatic stellate cells,COL1A2
1635,Hepatic stellate cells,COL1A2
1636,Fibroblasts,COL1A2
1644,Fibroblasts,COL3A1
1645,Hepatic stellate cells,COL3A1
1646,Pancreatic stellate cells,COL3A1
1648,Pancreatic stellate cells,COL4A1
1665,Pancreatic stellate cells,COL6A1
1667,Fibroblasts,COL6A2
1668,Pancreatic stellate cells,COL6A2
1669,Adipocytes,COL6A2
1670,Fibroblasts,COL6A3
1671,Pancreatic stellate cells,COL6A3
1696,Acinar cells,CPA1
1698,Acinar cells,CPA2
1700,Mast cells,CPA3
1702,Acinar cells,CPB1
1703,Enteroendocrine cells,CPE
1743,Germ cells,CREM
1770,Alpha cells,CRYBA2
1772,Proximal tubule cells,CRYL1
1799,NK cells,CST7
1800,Gamma delta T cells,CST7
1823,Acinar cells,CTRB1
1824,Acinar cells,CTRB2
1825,Acinar cells,CTRC
1832,Neutrophils,CTSG
1833,Ductal cells,CTSH
1838,Dendritic cells,CTSS
1841,NK cells,CTSW
1843,Gamma delta T cells,CTSW
1860,Loop of Henle cells,CXCL1
1877,Fibroblasts,CXCL14
1878,Macrophages,CXCL16
1882,Acinar cells,CXCL17
1885,Pulmonary alveolar type II cells,CXCL2
1907,Plasmacytoid dendritic cells,CXCR4
1908,B cells,CXCR4
1914,T cells,CXCR4
1915,NK cells,CXCR4
1932,Macrophages,CYBB
1934,Plasma cells,CYCS
1940,Leydig cells,CYP11A1
1943,Leydig cells,CYP17A1
1977,Clara cells,CYP4B1
1993,Macrophages,DAB2
1995,Podocytes,DACH1
2013,Hepatic stellate cells,DCN
2014,Fibroblasts,DCN
2026,Serotonergic neurons,DDC
2032,Germ cells,DDX4
2055,Plasmacytoid dendritic cells,DERL3
2068,Enterocytes,DGAT1
2112,Beta cells,DLK1
2180,Proximal tubule cells,DPP4
2198,Ependymal cells,DRC12
2224,Neurons,DYNC1I1
2228,Germ cells,DYNLT1
2235,Plasma cells,EAF2
2247,Endothelial cells,ECSCR
2270,Podocytes,EFNB1
2282,Endothelial cells,EGFL7
2298,Fibroblasts,EGR1
2313,Neutrophils,ELANE
2314,Neurons,ELAVL3
2318,Cholangiocytes,ELF3
2329,Endothelial cells,EMCN
2340,Endothelial cells,EMP1
2353,Endothelial cells,ENG
2354,Ependymal cells,ENKUR
2355,Neurons,ENO2
2361,Proximal tubule cells,ENPEP
2366,Oligodendrocytes,ENPP2
2387,Endothelial cells,EPAS1
2392,Erythroid-like and erythroid precursor cells,EPB42
2395,Cholangiocytes,EPCAM
2397,Epithelial cells,EPCAM
2410,Oligodendrocyte progenitor cells,EPN2
2429,Oligodendrocytes,ERMN
2474,Alpha cells,F10
2488,Enterocytes,FABP1
2489,Enterocytes,FABP2
2509,Proximal tubule cells,FAH
2543,Proximal tubule cells,FBP1
2577,Macrophages,FCGR3A
2599,Serotonergic neurons,FEV
2641,Gamma delta T cells,FGFBP2
2647,Astrocytes,FGFR3
2653,Hepatocytes,FGL1
2670,Mesangial cells,FILIP1L
2684,Mesangial cells,FLNA
2692,Endothelial cells,FLT1
2706,Pancreatic stellate cells,FN1
2707,Mesangial cells,FN1
2710,Proximal tubule cells,FOLR1
2716,Fibroblasts,FOSB
2745,Ependymal cells,FOXJ1
2754,B cells naive,FOXP1
2781,Fibroblasts,FSTL1
2785,Dendritic cells,FTL
2806,Alpha cells,FXYD5
2824,Beta cells,G6PC2
2890,Mesangial cells,GATA3
2906,Alpha cells,GC
2909,Alpha cells,GCG
2910,Enteroendocrine cells,GCG
2926,Ductal cells,GDF15
2928,Acinar cells,GDF15
2935,Loop of Henle cells,GEM
2941,Astrocytes,GFAP
2957,Enteric glia cells,GFRA3
2960,Peri-islet Schwann cells,GFRA3
2989,Leydig cells,GJA1
2990,Astrocytes,GJA1
3001,Oligodendrocytes,GJB1
3016,Beta cells,GJD2
3036,Proximal tubule cells,GLYAT
3051,Platelets,GNG11
3052,Endothelial cells,GNG11
3062,Plasma cells,GNG7
3069,NK cells,GNLY
3070,Gamma delta T cells,GNLY
3074,Podocytes,GOLIM4
3094,Gamma (PP) cells,GPC5-AS1
3105,Macrophages,GPNMB
